,Critics Score,Release Date,Title,User Score
0,97,"Oct 26, 2018",RedDeadRedemption2(XONE),7.4
1,97,"Oct 26, 2018",RedDeadRedemption2(PS4),7.9
2,93,"Dec  7, 2018",SuperSmashBros.Ultimate(Switch),8.6
3,89,"Nov  9, 2018",TetrisEffect(PS4),8.0
4,89,"Dec 10, 2018",DUSK(PC),8.6
5,89,"Oct 18, 2018",ReturnoftheObraDinn(PC),7.7
6,88,"Nov  2, 2018",DiabloIII:EternalCollection(Switch),7.9
7,88,"Dec  4, 2018",MonsterBoyandtheCursedKingdom(PS4),8.5
8,87,"Dec 10, 2018",Guacamelee!2(Switch),8.4
9,87,"Dec  7, 2018",KatamariDamacyREROLL(Switch),8.3
10,86,"Nov 16, 2018",SidMeier'sCivilizationVI(Switch),7.8
11,86,"Nov  1, 2018",Transistor(Switch),8.2
12,86,"Nov  2, 2018",FootballManager2019(PC),6.6
13,85,"Dec  4, 2018",MonsterBoyandtheCursedKingdom(Switch),8.4
14,85,"Oct 12, 2018",CallofDuty:BlackOps4(XONE),4.3
15,85,"Dec 11, 2018",Kingdom:TwoCrowns(Switch),8.1
16,85,"Nov  9, 2018",Thronebreaker:TheWitcherTales(PC),7.8
17,84,"Nov 20, 2018",BeatSaber(PS4),8.3
18,84,"Oct 16, 2018",ValkyriaChronicles(Switch),8.3
19,84,"Oct 19, 2018",SoulCaliburVI(PS4),6.4
20,84,"Oct 19, 2018",SoulCaliburVI(XONE),4.5
21,84,"Oct 11, 2018",ChildofLight(Switch),8.5
22,84,"Nov  9, 2018",Hitman2(XONE),7.2
23,83,"Dec 13, 2018",GRIS(Switch),8.6
24,83,"Oct  9, 2018",Disgaea1Complete(PS4),5.4
25,83,"Oct 12, 2018",CallofDuty:BlackOps4(PS4),4.3
26,83,"Oct 19, 2018",DarkSoulsRemastered(Switch),7.6
27,83,"Nov  6, 2018",Transpose(PS4),tbd
28,83,"Oct 23, 2018",WindJammers(Switch),8.3
29,83,"Nov  5, 2018",Moonlighter(Switch),8.1
30,83,"Nov  8, 2018",TotalWar:WARHAMMERII-CurseoftheVampireCoast(PC),7.3
31,83,"Oct 12, 2018",CallofDuty:BlackOps4(PC),3.5
32,83,"Dec 13, 2018",GRIS(PC),8.6
33,83,"Nov 13, 2018",SpyroReignitedTrilogy(XONE),7.2
34,83,"Oct 11, 2018",TheMissing:JJMacfieldandtheIslandofMemories(XONE),5.5
35,82,"Dec  6, 2018",Ashen(PC),6.9
36,82,"Nov 13, 2018",Hitman2(PC),7.5
37,82,"Nov  9, 2018",Hitman2(PS4),9.0
38,82,"Nov 13, 2018",SpyroReignitedTrilogy(PS4),8.5
39,82,"Feb  8, 2019",Yo-kaiWatch3(3DS),tbd
40,82,"Dec  4, 2018",MonsterBoyandtheCursedKingdom(XONE),8.7
41,81,"Nov 29, 2018",ABZU(Switch),8.0
42,81,"Nov  6, 2018",WorldofFinalFantasyMaxima(XONE),8.1
43,81,"Dec  4, 2018",Subnautica(PS4),7.1
44,81,"Dec  6, 2018",KatamariDamacyREROLL(PC),tbd
